epoch,acc,loss,my_acc,val_acc,val_loss,val_my_acc
0,0.9871875,0.14136996987462044,0.9495,0.9715,0.19797512328624725,0.899
1,0.990375,0.1302471967935562,0.96225,0.97475,0.18578778195381165,0.914
2,0.9908125,0.12653207734227181,0.96325,0.977,0.18498017942905426,0.919
3,0.99075,0.12500488299131393,0.96325,0.9775,0.1790849097967148,0.924
4,0.992625,0.11778007361292839,0.9705,0.9785,0.17251915395259856,0.928
5,0.99225,0.1167379869222641,0.96925,0.97875,0.17167418110370636,0.926
6,0.994,0.11155082461237907,0.976,0.98025,0.16454412323236464,0.933
7,0.9958125,0.10575671336054802,0.98325,0.9815,0.16130484211444854,0.939
8,0.99725,0.09943574643135071,0.98925,0.9805,0.1571712636947632,0.933
9,0.9951875,0.10251287278532982,0.98075,0.9815,0.16123936688899995,0.937
10,0.9955625,0.09858948108553886,0.98275,0.982,0.15376367688179016,0.94
11,0.9965625,0.09525838780403137,0.98625,0.98325,0.151176677942276,0.942
